poi_id	poi_name	latitude	longitude	da_obs	da_contrib_obs	da_ratio_obs	da_actual_obs	hw_id	da_seg_cum	missing_obs	da_ratio	falcone_class
01013500	Fish River near Fort Kent, Maine	47.2375	-68.58278	873.0	873.0	1.0	873.0	11	867.130425	0	0.9932765463917526	Ref
01015800	Aroostook River near Masardis, Maine	46.523056	-68.371666	892.0	892.0	1.0	892.0	6	895.0795531250001	0	0.9965594643356019	Non-ref
01019000	Grand Lake Stream at Grand Lake Stream, Maine	45.1725	-67.76889	228.3	228.3	1.0	228.3000030517578	75	229.3293890625	0	0.9955113210088321	Non-ref
01021200	Dennys River at Dennysville, Maine	44.90139	-67.2475	92.9	92.9	1.0	92.9000015258789	76	92.6656390625	3617	0.997477260930791	Non-ref
01022500	Narraguagus River at Cherryfield, Maine	44.608055	-67.93528	227.0	227.0	1.0	227.0	67	227.15933906250004	0	0.9992985581699716	Ref
01031500	Piscataquis River near Dover-Foxcroft, Maine	45.175	-69.31472	298.0	298.0	1.0	298.0	37	295.9645639734375	0	0.9931696777632132	Ref
01038000	Sheepscot River at North Whitefield, Maine	44.22278	-69.59389	145.0	145.0	1.0	145.0	69	145.2287734375	0	0.9984247375221519	Non-ref
01047000	Carrabassett River near North Anson, Maine	44.869167	-69.955	353.0	353.0	1.0	353.0	64	349.40553936562503	0	0.9898173919706091	Ref
01048000	Sandy River near Mercer, Maine	44.708057	-69.9375	516.0	516.0	1.0	516.0	62	517.7078597328126	2366	0.9967011129912263	Non-ref
01049000	Sebasticook River near Pittsfield, Maine	44.716667	-69.41389	572.0	572.0	1.0	572.0	65	576.8986924875	2284	0.9915085741200459	Non-ref
01049500	Cobbosseecontee Stream at Gardiner, Maine	44.229168	-69.77805	217.0	217.0	1.0	217.0	63	216.95423532656253	0	0.9997891028873849	Non-ref
01053500	Androscoggin River at Errol, NH	44.7825	-71.12861	1046.0	1046.0	1.0	1046.0	185	1043.60087735625	0	0.9977063837057841	Non-ref
01054200	Wild River at Gilead, Maine	44.390556	-70.97972	69.6	69.6	1.0	69.5999984741211	123	70.0113939484375	18	0.9941238782558822	Ref
01055000	Swift River near Roxbury, Maine	44.642776	-70.58889	96.9	96.9	1.0	96.9000015258789	119	96.97396195312501	0	0.9992373166388534	Ref
01055500	Nezinscot River at Turner Center, Maine	44.269444	-70.22972	169.0	169.0	1.0	169.0	122	175.7325890125	1765	0.9616884435019557	Non-ref
01057000	Little Androscoggin River near South Paris, Maine	44.30389	-70.53972	73.5	73.5	1.0	73.5	124	76.331929803125	0	0.9628998007723752	Ref
01064500	Saco River near Conway, NH	43.990833	-71.09055	385.0	385.0	1.0	385.0	168	386.78077379687505	0	0.9953959092139097	Non-ref
01073000	OYSTER RIVER NEAR DURHAM, NH	43.148697	-70.96506	12.1		1.0	12.100000381469727	91	12.399507615625	0	0.9758452316463071	Ref
01073500	LAMPREY RIVER NEAR NEWMARKET, NH	43.102585	-70.95256	185.0		1.0	185.0	91	182.16358787187502	0	0.9846680425506759	Non-ref
01076500	PEMIGEWASSET RIVER AT PLYMOUTH, NH	43.75924	-71.68563	622.0		1.0	622.0	137	628.8943690359375	0	0.9890373179099914	Non-ref
01078000	SMITH RIVER NEAR BRISTOL, NH	43.566463	-71.747856	85.8		1.0	85.80000305175781	137	85.661999159375	0	0.9983915630830507	Ref
01081000	WINNIPESAUKEE RIVER AT TILTON, NH	43.441742	-71.58758	471.0		1.0	471.0	127	469.924526215625	3	0.9977166161690552	Non-ref
01089100	SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH	43.21369	-71.48035	81.9	81.9	1.0	81.9000015258789	128	82.6887870578125	2616	0.9904607920856051	Non-ref
01094400	NORTH NASHUA RIVER AT FITCHBURG, MA	42.576202	-71.78813	64.2	64.2	1.0	64.19999694824219	103	66.2773934046875	0	0.9686560326269803	Non-ref
01094500	NORTH NASHUA RIVER NEAR LEOMINSTER, MA	42.495064	-71.72193	110.0	110.0	1.0	110.0	103	108.0185422734375	0	0.9819867479403409	Non-ref
01096000	SQUANNACOOK RIVER NEAR WEST GROTON, MA	42.634254	-71.657845	65.9	63.7	0.9666161	63.70000076293945	103	67.0685995078125	0	0.9497738320228284	Non-ref
010965852	BEAVER BROOK AT NORTH PELHAM, NH	42.782867	-71.353676	47.8		1.0	47.79999923706055	134	47.81799446875	2099	0.9996236723875733	Non-ref
01097000	ASSABET RIVER AT MAYNARD, MA	42.432037	-71.44978	116.0	116.0	1.0	116.0	135	116.42169883593749	0	0.9963778329971653	Non-ref
01097300	NASHOBA BROOK NEAR ACTON, MA	42.512592	-71.40423	12.8	12.8	1.0	12.800000190734863	135	12.963776978125	6	0.9873665840081565	Non-ref
01098530	SUDBURY RIVER AT SAXONVILLE, MA	42.325375	-71.39756	106.0	106.0	1.0	106.0	135	106.0199835609375	0	0.9998115113748719	Non-ref
01101000	PARKER RIVER AT BYFIELD, MA	42.75287	-70.94561	21.3	21.3	1.0	21.299999237060547	92	21.6495245515625	0	0.9838552891233481	Non-ref
01101500	IPSWICH RIVER AT SOUTH MIDDLETON, MA	42.56954	-71.027	44.5	44.5	1.0	44.5	93	46.700851328125	0	0.9528734216714468	Non-ref
01102000	IPSWICH RIVER NEAR IPSWICH, MA	42.659817	-70.89366	125.0	125.0	1.0	125.0	93	122.55449084062501	0	0.9804359267250001	Non-ref
01103500	CHARLES RIVER AT DOVER, MA	42.25621	-71.260056	183.0	183.0	1.0	183.0	98	184.10262441406252	0	0.994010816426046	Non-ref
01104200	CHARLES RIVER AT WELLESLEY, MA	42.316486	-71.22784	211.0	211.0	1.0	211.0	98	213.0285952140625	1	0.9904773572204048	Non-ref
01104500	CHARLES RIVER AT WALTHAM, MA	42.37232	-71.233665	251.0	227.0	0.90438247	227.0	98	250.13594063906248	0	0.9075065319283852	Non-ref
01105000	NEPONSET RIVER AT NORWOOD, MA	42.177597	-71.20089	34.7	34.7	1.0	34.70000076293945	97	37.612925715625	0	0.9225552148027806	Non-ref
01105500	EAST BRANCH NEPONSET RIVER AT CANTON, MA	42.154545	-71.14588	27.2	27.2	1.0	27.200000762939453	97	27.7430800375	1	0.9804246942363114	Non-ref
01105730	INDIAN HEAD RIVER AT HANOVER, MA	42.10066	-70.82254	30.3	30.3	1.0	30.299999237060547	99	31.3295403265625	1	0.9671383276367747	Non-ref
01109000	WADING RIVER NEAR NORTON, MA	41.9476	-71.17671	43.3	43.3	1.0	43.29999923706055	109	44.4545655734375	0	0.9740281718765276	Non-ref
